LIB	FY	ORD_ID	ORDLINE_KEY	ORDLINE_NUM	XINFO_FIELD	ENTRY	DATA
SUL	2022	222222F22	5733749	1	FUND	ENTRY>	a50%: FUND; 50%: FUND<ENTRY
SUL	2022	333333F22	5729755	1	DESC	ENTRY>	"apapers shipped to RWC, RHW verified all contents arrived. Accession record.<ENTRY"
SUL	2022	1ABC0000	5623693	1	COMMENT	ENTRY>	aORDUNIT: SE   RECUNIT: SE<ENTRY
SUL	2022	1ABC0000	5623693	1	COMMENT	ENTRY>	aBN    XPM: c<ENTRY
SUL	2022	1ABC0000	5623693	1	COMMENT	ENTRY>	aOPERATOR ID: pah   ACTION INT: 540<ENTRY
SUL	2022	1ABC0000	5623693	1	COMMENT	ENTRY>	aSI: adr   LOC: STACKS   ITYPE: STKS-MONO<ENTRY
SUL	2022	1ABC0000	5623693	1	FUND	ENTRY>	afund<ENTRY
SUL	2022	4444444F21	5613373	1	FUND	ENTRY>	afund<ENTRY
SUL	2022	555555F12	5635368	1	COMMENT	ENTRY>	a2013 ed. (3 copies) paid by PCARD /fs/10/10/2013<ENTRY
SUL	2022	555555F12	5635368	1	COMMENT	ENTRY>	"aOLD Funding (2018 and forward)<ENTRY"
SUL	2022	555555F12	5635368	1	COMMENT	ENTRY>	aSee fund allocation in the FUND field below. Fund amounts converted to percentage due to the order type (recurring). zb 20220412<ENTRY
SUL	2022	555555F12	5635368	1	FUND	ENTRY>	aASULFUND 25%; ASULFUND 12%; ASULFUND 63%<ENTRY
